job_skills,count
"Customer service, Cash register operation, Merchandising, Cleaning, Planogram implementation, Store management, Communication, Safety, Mathematical calculations, Cash handling, Driving, High school diploma, Supervisory experience, Walking, Standing, Bending, Stooping, Kneeling, Lifting, Climbing, Fastpaced environment, Noise, Outside weather conditions, Driving",11
"Communication skills, Motivation, Technical skills, Flexibility, Organization, Goaldriven, Cosmetology license, Barber license, Manager training, Incentives, Recognition, Customer base, Ongoing training",11
"Communication skills, Motivation, Technical skills, Flexibility, Organization, Goaloriented, Cosmetology license, Barber license",11
"Communication skills, Customer service skills, Ability to work at heights, Ability to lift heavy objects, Valid driver's license, Ability to travel",11
"Restaurant operations execution, Staff management, Hospitality, Guest satisfaction",11
"Physician, Psychiatric, Mental Health",11
Equal Employment Opportunity,11
"Home Health RN, HHCMedication, HHCNasal/Tracheal Suction Exam, HHCPediatric Ventilator, HHCVentilator Management",11
"Product procurement, Leadership, Communication, Customer service, Culinary/food and beverage industry experience, Team education, Troubleshooting, Microsoft Excel, Microsoft Access, Relocation to Madison WI, US work authorization, COVID19 Vaccination",11
"Physician, PsychiatricMental Health",11
"Nursing, UK Registered Nurse, Personcentered care",11
No technical skills frameworks languages softwares concepts or requirements found in the provided job posting.,11
Architect,11
"Communication, Personal Care, Companionship, Activities of Daily Living (ADLs)",11
"HCPC, Car driver, NHS experience, 1 year experience",11
No technical skills frameworks languages softwares concepts or requirements were found in the provided job posting.,11
"Physician, Obstetrics, Gynecology, Healthcare",11
"Communication skills, Motivation, Technical skills, Flexibility, Organization, Goaloriented, Cosmetology license, Barber license, Manager training, Incentives, Recognition, Customer base, Ongoing training",11
"CRNA, Anesthesiology",10
"Customer service, Supervisory experience, Team environment, Training, Decisionmaking, Goal achievement, Computer proficiency, Flexible schedule",10
"Customer service, Communication, Basic math, Literacy, High school diploma",10
"Leadership, Training, Coaching, Development, Customer Service, Merchandising, Operations, Product Knowledge, Building Materials, Decor, Electrical, Flooring, Gardening, Hardware, Kitchen & Bath, Lumber, Millwork, Paint, Plumbing, Pro Account Sales, Tool Rental, Front End, Freight, Receiving, Associate Support, Special Services, Merchandising Execution",10
"Physician, Internal Medicine, Healthcare, Job Search, Email Alerts, Professional Profile, CV, Credentials, Medical Information, Confidentiality, Career Matching",10
"Skilled Trades, Technician",10
Customer service,10
"Home Health RN, BLS, Color Vision Mandatory Exam, Core Mandatory Part I, Core Mandatory Part II (Nursing), Core Mandatory Part III, HHCMedication, HHCNasal/Tracheal Suction Exam, HHCPediatric Ventilator, HHCVentilator Management, Preventing Medication Errors, RN Pharmacology, RN State License",10
"Supervisory experience, High school education, Desire to learn, Valid Driver's License",10
"Communication skills, Motivating attitude, Technical skills, Flexibility, Organization, Goal orientation, Hair cutting license, Cosmetology license, Barber license, Manager training, Incentives, Recognition, Customer base, Ongoing training",10
"Healthcare staffing, Customer service, Per Diem, Travel Contracts, Equal opportunity employer",10
"Physician, Physiatry, Physical Medicine, Rehabilitation",10
"Customer service, Cash register operation, Merchandising, Cleaning, Planogram implementation, Store management, Communication, Safety, Mathematical calculations, Cash handling, Driving, High school diploma, Supervisory experience, Walking, Standing, Bending, Stooping, Kneeling, Lifting, Climbing, Fastpaced environment, Noise, Weather exposure, Driving",10
Photography,10
"Communication, Personal care, Companionship, Activities of Daily Living (ADLs)",10
"Leadership, Training, Coaching, Development, Customer service, Merchandising, Product knowledge, Operational knowledge",10
"Customer service, Supervisory experience, Team environment, Training and directing, Decision making, Goal achievement, Computer proficiency, Flexible schedule",10
Electronic medical record system,10
"Communication skills, Customer service skills, Ability to work at heights, Ability to lift heavy objects, Valid driver's license, Ability to travel, Aptitude to build rapport quickly",10
"Front Counter, DriveThru, Outside Order Taker, Runner, Dining Room Attendant, Drinks, Make Up Table, Prep, Grill, Fry, Porter, Coaching, High school diploma/GED or equivalent work experience, 1+ years of restaurant leadership experience, Food Handlers Certification",10
"Communication skills, Motivating attitude, Technical skills, Flexibility, Organization, Goal achievement, Cosmetology license, Barber license, Manager training, Incentives, Recognition, Customer base, Ongoing training",9
"Retail experience, Management experience, Communication skills, Interpersonal skills, Written skills, Ability to lift bend and transport merchandise, Ability to work in a highenergy team environment, Health and welfare programs, Employee Assistance Program, Paid Time Off, Retirement Plans, Employee Stock Purchase Program",9
"Restaurant management, Staff management, Hospitality, Customer service",9
No technical skills frameworks languages softwares concepts or requirements found in the given job posting.,9
"Communication, Collaboration, Self Accountability, Solution Oriented, People Centric, Relevant, Initiative, Deliver, Evolve",9
"Retail experience, Management experience, Communication skills, Interpersonal skills, Written skills, Lifting, Bending, Transporting merchandise, Teamwork, Health and welfare programs, Employee Assistance Program, Paid Time Off, Retirement Plans, Employee Stock Purchase Program",9
Technician Radiology Technologist,9
United States of America,9
"Customer service, Communication skills, Ability to work at heights, Ability to lift heavy objects, Valid driver's license, Ability to travel, Aptitude to build rapport quickly",9
"Restaurant Operations Execution, Staff Management, Hospitality, Guest Satisfaction",9
This context does not mention anything about techinical skills frameworks languages softwares concepts and requirements so I cannot extract the requested data from the provided context.,9
Volunteerism,9
"Music teaching, Criminal background check",9
"Retail experience, Leadership, Communication",9
"Product Management, Software Development, Hardware Development, Remote Work, Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ",9
"Communication skills, Motivating attitude, Technical skills, Flexibility, Organization, Goal orientation, Cosmetology license, Barber license, Manager training, Incentives, Recognition, Customer base, Ongoing training",9
Teaching,9
"Restaurant management, Hospitality, Guest satisfaction",9
"Retail, Management, Communication, Interpersonal, Written, Lifting, Bending, Transporting, Teamwork, Medical, Pharmacy, Dental, Vision, Employee Assistance Program, Paid Time Off, Retirement Plans, Employee Stock Purchase Program",9
"Communication skills, Motivating attitude, Technical skills, Flexibility, Organization, Goaloriented, Hair cutting license, Cosmetology license, Barber license, Manager training, Incentives, Recognition, Customer base, Ongoing training",9
"Customer service, Communication skills, Ability to work at heights, Ability to lift heavy objects, Valid driver's license, Ability to travel, Aptitude to build rapport, Ability to work in all weather conditions",9
No technical skills frameworks languages softwares concepts or requirements were found in the given job posting.,9
"Meat searing, Meat seasoning, Meat cooking, Sanitation, Teamwork, Flexible work schedules, Tuition reimbursement, Competitive wages, Weekly pay, Paid vacation, Annual holiday bonus, Medical dental and vision plans, Shortterm disability, Life accidental and critical illness insurance, Identity theft protection, Employee assistance program, Employee food and corporate discounts, Opportunity for advancement",9
Application,9
"Emergency Room Nurse, BLS, Color Vision Mandatory Exam, Core Mandatory Part I, Core Mandatory Part II (Nursing), Core Mandatory Part III, ED RN A, Preventing Medication Errors, RN Pharmacology, RN State License",9
"Physician, Family Practice, Healthcare, Physician Assistant, Job Search, Email Alerts, Professional Profile, CV, Credentials, Medical Information, Confidentiality, Career Matching Support",9
"Retail experience, Management experience, Merchandising, Inventory control, Standing, Walking, Climbing ladders, Lifting",9
"Music teaching, Criminal background check, Volunteer opportunity",8
"Teamwork, Guestfirst attitude, Restaurant experience, Passion for food and fun, Fastpaced environment",8
CT Technologist,8
"Physician, Emergency Medicine",8
"Registered Nurse, Intensive Care Unit",8
"Physician, Family Practice, Healthcare, Job Search, Professional Profile, Confidentiality, Career Matching",8
"Caregiving, Communication, Personal Care, Companionship, Activities of Daily Living (ADLs)",8
ParaProfessional/Aides/Assistants,8
"Physician, Internal Medicine, Healthcare, Job Search, Email Alerts, Professional Profile, CV, Credentials, Medical Information, Confidentiality, Career Matching Support",8
No technical skills frameworks languages softwares concepts or requirements were found in the provided text.,8
"Physician, Family Practice, Healthcare",8
"Customer service, Communication, Math, Literacy, High school diploma",8
"Instructional Specialist, Curriculum Specialist, Literacy Coach, Instructional Coach, School Orientation and Mobility Specialist, Speech Language Pathologist, JazzHR",8
"Rapport building, Working at heights, Lifting heavy objects, Driver's license, Travel",8
"Physician, Family Practice, Healthcare, Job Search, Email Alerts, Professional Profile, CV, Credentials, Medical Professional Information, Confidentiality, Career Matching Support",8
"Communication skills, Motivating attitude, Technical skills, Flexible, Organized, Goaldriven, Cosmetology license, Barber license",8
Service Advisor,8
"Retail, Management, Communication, Interpersonal, Written, Lifting, Bending, Transporting, Teamwork, Health and welfare programs, Employee Assistance Program, Paid Time Off, Retirement Plans, Employee Stock Purchase Program",8
"Nursing, Elderly Care, NMC PIN",8
"Front Counter, DriveThru, Outside Order Taker, Runner, Dining Room Attendant, Drinks, Make Up Table, Prep, Grill, Fry, Porter, Coaching, High school diploma, GED, Restaurant leadership experience, Food Handlers Certification",8
"Registered Nurse, Licensed Practical Nurse, Licensed Vocational Nurse, Surgical Technician, Speech Language Pathologist, Speech Language Pathology Assistants, Physical Therapist, Physical Therapy Assistant, Occupational Therapist, Certified Occupational Therapy Assistant, Psychologist, Board Certified Behavior Analyst, Licensed Marriage and Family Therapist",8
"Restaurant management, Hospitality, Customer service",8
"Leadership, Training, Coaching, Development, Customer service, Merchandising, Product knowledge, Operational knowledge, Building Materials, Decor, Electrical, Flooring, Gardening, Hardware, Kitchen & Bath, Lumber, Millwork, Paint, Plumbing, Pro Account Sales, Tool Rental, Front End, Freight, Receiving, Associate Support, Special Services, Merchandising Execution",8
"Retail experience, Management experience, Communication skills, Interpersonal skills, Written skills, Lifting, Bending, Transporting merchandise, Team environment, Health and welfare programs, Employee Assistance Program, Paid Time Off, Retirement Plans, Employee Stock Purchase Program",8
"Food Safety, Internal Communication, Inventory Management, Daily Maintenance and Cleanliness, Managing Crew, Quality Food Production, Exceptional Customer Service, Safety and Security, Scheduling, Training, Leadership, Retail, Hospitality",8
"Physician, Family Practice, Healthcare, Job Search, CV, Credentials, Medical Information, Confidentiality, Career Matching",8
Healthcare,8
"Physician, Family Practice, Healthcare, Physician Assistant, Job Search, Email Alerts, Professional Profile, CV, Credentials, Medical Information, Confidentiality, Career Matching",7
Communication skills,7
"Flexible schedules, Free Employee Meal, Weekly pay, Anniversary pay, Paid Sick Leave, Paid Family and Medical Leave, Medical/dental insurance, Ongoing training, Discounts, 401(k) savings plan, Management career advancement opportunities",7
"Customer service, Leadership, Communication, Teamwork, Inventory management, Basic math skills",7
"Customer Service, Sales, Communication, Teamwork, Problem Solving, Retail Experience, Cashiering Experience, High School Diploma",7
"Registered Nurse (RN), Intensive Care Unit (ICU)",7
"Customer service, Cash register operation, Merchandising, Cleaning, Planogram implementation, Store management, Communication, Safety, Mathematical calculations, Cash handling, Driving, High school diploma, Supervisory experience, Walking, Standing, Bending, Stooping, Kneeling, Lifting, Climbing, Fastpaced environment, Noise, Weather conditions, Driving, Transportation",7
"Meat searing, Meat seasoning, Meat cooking, Sanitation guidelines, Equipment knowledge, Teamwork, Flexible work schedules, Tuition reimbursement, Competitive wages, Weekly pay, Paid vacation, Annual holiday bonus, Medical dental and vision plans, Shortterm disability, Life accidental and critical illness insurance, Identity theft protection, Employee assistance program, Employee food and corporate discounts, Opportunity for advancement",7
English,7
"Leadership, Training, Coaching, Development, Customer service, Merchandising, Operational knowledge, Product knowledge",7
"Meat searing, Meat seasoning, Meat cooking, Sanitation guidelines, Equipment operation, Teamwork, Flexible work schedules, Tuition reimbursement, Competitive wages, Weekly pay, Paid vacation, Annual holiday bonus, Medical dental and vision plans, Shortterm disability, Life accidental and critical illness insurance, Identity theft protection, Employee assistance program, Employee food and corporate discounts, Opportunity for advancement",7
"School Recruitment, HR, Talent Management, JazzHR",7
"Physician, Urology",7
Dentistry,7
"Social Work Qualification, Social Work England registered, Understanding of relevant legislation, Continual professional development",7
"Surgical Technologist, Registered Nurse, Travel Nursing",7
"Radiology, Interventional",7
"Curriculum Specialist, Literacy Coach, Instructional Coach, School Orientation and Mobility Specialist, Speech Language Pathologist, JazzHR",7
"Social Work Qualification, Understanding of relevant legislation, Registered or eligible for registration",7
"Communication skills, Motivation, Technical skills, Flexibility, Organization, Goal achievement, Cosmetology license, Barber license",7
"Leadership, Training, Coaching, Development, Customer Service, Merchandising, Product Knowledge, Operational Knowledge, Problem Solving, Decision Making, Communication, Teamwork",7
"Physician, PsychiatricMental Health, Healthcare",7
"Communication skills, Motivation, Technical skills, Flexibility, Organization, Goal achievement, Cosmetology license, Barber license, Manager training, Incentives, Recognition, Customer base, Ongoing training",7
"HCPC, NHS, 1 year experience",7
"Physician, Internal Medicine",7
"Front Counter, DriveThru, Order Taker, Runner, Dining Room Attendant, Drinks, Make Up Table, Prep, Grill, Fry, Porter, Coaching, High school diploma/GED, Restaurant leadership experience, Food Handlers Certification",7
"UK Registered Nurse, Personcentered care",7
"Rapport building, Working at heights, Lifting heavy objects, Valid driver's license, Travel",7
"Communication skills, Motivating attitude, Technical skills, Flexibility, Organization, Goaldriven, Cosmetology license, Barber license",7
The context does not mention anything about technical skills frameworks languages softwares concepts and requirements so I cannot extract the requested data from the provided context.,7
"Restaurant Management, Staff Management, Hospitality, Customer Service",7
"Front Counter, Dining Room Attendant, Coaching, Recruitment, Health & Safety Compliance, Inventory Management, Budgeting, Financial Management, High school diploma/GED, Restaurant leadership experience, Food Handlers Certification, Food Safety Certification",7
"Act 24 Arrest/Conviction Certification, Act 34 Criminal Clearance, Act 151 Child Line Clearance, Act 114 FBI Fingerprinting Security Clearances, Act 168 Sexual Misconduct/Abuse Disclosure Release, SafeSchools Training",7
"Food Safety, Internal Communication, Inventory Management, Daily Maintenance, Cleanliness, Managing Crew, Quality Food Production, Exceptional Customer Service, Safety and Security, Scheduling, Training, Leadership, Restaurant, Retail, Hospitality",7
Teamwork,6
"Physician Assistant, Family Practice, Primary Care",6
"HCPC, NHS experience, 1 year experience, CPD Assistance, Ongoing PDP, Mandatory Training Arrangements, NHS Approved Service, UK employment opportunities, Dedicated Consultant, Contactable 24 hours per day 365 days per year, Expert payroll team, Efficient dedicated compliance service",6
Food Service,6
"Janitorial services, Handyman services, Maintenance, VolunteerMatch, LinkedIn for Good",6
"Leadership, Training, Coaching, Development, Customer Service, Merchandising, Decision Making, Product Knowledge, Operational Knowledge, Building Materials, Decor, Electrical, Flooring, Gardening, Hardware, Kitchen & Bath, Lumber, Millwork, Paint, Plumbing, Pro Account Sales, Tool Rental, Front End, Freight, Receiving, Associate Support, Special Services, Merchandising Execution",6
"Physician, Anesthesiology, Healthcare",6
"Windows Server, Active Directory, SQL Server, Office 365, Azure, Citrix, Splunk, Exchange, Windows Containers, HyperV, Automation tools, Scripting, Programming, Troubleshooting, Customer service, U.S. work eligibility, COVID19 vaccination",6
"Front of House, Guest seating, Greeting, Reception, Reservation, Customer service",6
"Registered Nurse, Surgical Technologist, Certified Surgical Technologist",6
"Front Counter, DriveThru, Outside Order Taker, Runner, Dining Room Attendant, Drinks, Make Up Table, Prep, Grill, Fry, Porter, Coaching, High school diploma/GED or equivalent work experience, Restaurant leadership experience, Food Handlers Certification",6
Microsoft Office,6
"Communication skills, Motivating attitude, Technical skills, Flexible, Organized, Goaloriented, Cosmetology license, Barber license, Manager training, Incentives, Recognition, Customer base, Ongoing training",6
"Communication skills, Ability to work at heights, Ability to lift heavy objects, Valid driver's license, Ability to travel, Aptitude to build rapport quickly",6
"Healthcare, Staffing, Customer service, Equal opportunity employer",6
"Healthcare, Medical",6
Athletic Director,6
"Physician, Cardiology",6
"Retail, Management, Communication, Interpersonal skills, Written skills, Lifting, Bending, Transporting merchandise, Team environment",6
"Customer service, Communication skills, Ability to work at heights, Ability to lift heavy objects, Valid driver's license, Ability to travel, Aptitude to build rapport",6
"Product procurement, Leadership, Communication, Customer service, Culinary/food and beverage industry experience, Team education, Troubleshooting, Excel, Access, Relocation to Madison WI, US work authorization, COVID19 Vaccination",6
"CRNS, BCLS, ACLS, PEDS ACLS, TNCC",6
"Customer service, Retail technology, Sales experience, Retail experience, Bilingual skills, Trade certification",6
"Physician, Surgery, General",6
"Front Counter, DriveThru, Outside Order Taker, Runner, Dining Room Attendant, Drinks, Make Up Table, Prep, Grill, Fry, Porter, Coaching, Food Handlers Certification",6
"Physician, Psychiatry, Mental Health",6
"Front Counter, DriveThru, Outside Order Taker, Runner, Dining Room Attendant, Drinks, Make Up Table, Prep, Grill, Fry, Porter, Coaching, High School Diploma/GED, 1+ Years of Restaurant Leadership Experience, Food Handlers Certification",6
High School Diploma,6
"Customer service, Communication, Problemsolving, Ability to work at heights, Ability to lift heavy objects, Valid driver's license, Ability to travel, Aptitude to build rapport quickly",6
"Pediatrician, BC/BE",6
"Physical Therapist, Therapy, Travel",6
"Physician Assistant, Family Practice, Primary Care, Healthcare",6
"Communication skills, Motivating attitude, Technical skills, Flexible, Organized, Goaloriented, Hair cutting license, Cosmetology license, Barber license, Manager training, Incentives, Recognition, Customer base, Ongoing training",6
"Physician Assistant, Family Practice, Primary Care, Healthcare, Job Search, Email Alerts, Professional Profile, CV, Credentials, Medical Professional Information, Confidentiality, Career Matching Support",6
"Product Management, Software Development, Hardware Development, Sequoia Capital, Lightspeed Ventures, Tiger Global Management, A16Z, Accel, DFJ",6
"Front Counter, DriveThru, Outside Order Taker, Runner, Dining Room Attendant, Drinks, Make Up Table, Prep, Grill, Fry, Porter, Coaching, High school diploma/GED, Food Handlers Certification, Restaurant leadership experience",6
"Windows Server, Active Directory, SQL Server, Office 365, Azure, Citrix, Splunk, Exchange, Windows Containers, HyperV, Automation tools, Scripting, Programming, Troubleshooting, Customer service, Prometheus, SentryOne",6
"Radiology, Rad Tech",6
Management,6
"Retail, Management, Communication, Interpersonal, Written, Lifting, Bending, Transporting, Teamwork",6
"Meat searing, Meat seasoning, Meat cooking, Sanitation guidelines, Teamwork, Flexible work schedules, Tuition reimbursement, Competitive wages, Weekly pay, Paid vacation, Annual holiday bonus, Medical dental and vision plans, Shortterm disability, Life accidental and critical illness insurance, Identity theft protection, Employee assistance program, Employee food and corporate discounts, Opportunity for advancement, Equal opportunity employer",6
"Retail operations, Customer service, Calculator, Computer, Teamwork, Communication, Flexible schedule, Background check",6
"Customer service, Cashiering, Sales, Communication, Teamwork, Problemsolving, Retail experience, High school diploma",6
Hopkins,6
"Communication skills, Motivating attitude, Technical skills, Flexibility, Organization, Goal achievement, Cosmetology license, Barber license",6
"Communication skills, Motivating attitude, Technical skills, Flexible, Organized, Goaloriented, Cosmetology license, Barber license",6
"Retail, Management, Communication, Interpersonal skills, Written skills, Lifting, Bending, Transporting, Team environment",6
"Customer service, Supervision, Team environment, Training, Decisionmaking, Goal achievement, Computer proficiency, Flexible schedule",6
"Communication, Ethics & Integrity, Teamwork, Customer Focus, Relationship Building, Interpersonal, Listening, Adaptability & Flexibility",6
"Physician, Family Practice, Healthcare, Job Search, Email Alerts, Professional Profile, CV, Credentials, Medical Information, Confidentiality, Career Matching, Dream Job",6
